Feelings	Functions	Attributes	Numbers
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Annoyance, Amazement, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 96.318384, Y Length = 27.928713, Height = 76.6215, Number of Points = 97.91479, Distribution Seed = 68.104839, Mesh Relaxation = 0.60849, Smooth Level = 1, 	1064
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 90.081358, Y Length = 16.182747, Height = 37.548803, Number of Points = 95.263798, Distribution Seed = 28.713672, Mesh Relaxation = 0.367818, Smooth Level = 1, 	1065
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,   Facilities, Work, Exhibiting,  Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 11.724192, Y Length = 37.06812, Height = 95.846829, Number of Points = 34.852454, Distribution Seed = 8.551948, Mesh Relaxation = 0.073508, Smooth Level = 2, 	1066
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 32.308835, Y Length = 40.882109, Height = 57.29832, Number of Points = 75.676412, Distribution Seed = 58.297895, Mesh Relaxation = 0.996647, Smooth Level = 1, 	1067
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 67.062562, Y Length = 23.084332, Height = 99.199206, Number of Points = 15.187379, Distribution Seed = 59.195724, Mesh Relaxation = 0.943723, Smooth Level = 2, 	1068
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 31.117762, Y Length = 28.075637, Height = 73.246145, Number of Points = 14.64716, Distribution Seed = 98.577267, Mesh Relaxation = 0.608107, Smooth Level = 1, 	1069
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation, Horizontal Circulation,  Facilities, Work, Exhibiting,  Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 14.528921, Y Length = 89.879112, Height = 94.4263, Number of Points = 47.804656, Distribution Seed = 53.982668, Mesh Relaxation = 0.046481, Smooth Level = 1, 	1070
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 96.307502, Y Length = 17.091527, Height = 54.839207, Number of Points = 89.698151, Distribution Seed = 90.768867, Mesh Relaxation = 0.08996, Smooth Level = 2, 	1071
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Fear, Annoyance, Vigilance, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 13.743267, Y Length = 46.280253, Height = 87.432641, Number of Points = 15.551801, Distribution Seed = 17.499745, Mesh Relaxation = 0.922068, Smooth Level = 1, 	1072
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 18.795341, Y Length = 39.087968, Height = 90.98388, Number of Points = 28.503659, Distribution Seed = 56.091314, Mesh Relaxation = 0.066299, Smooth Level = 2, 	1073
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 54.300471, Y Length = 48.69025, Height = 17.740183, Number of Points = 41.518433, Distribution Seed = 60.771239, Mesh Relaxation = 0.119944, Smooth Level = 1, 	1074
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 63.972023, Y Length = 16.96678, Height = 17.995837, Number of Points = 52.869027, Distribution Seed = 23.975646, Mesh Relaxation = 0.592409, Smooth Level = 1, 	1075
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	          	X LENGTH = 69.825375, Y Length = 65.398563, Height = 21.798215, Number of Points = 65.283378, Distribution Seed = 92.883879, Mesh Relaxation = 0.959111, Smooth Level = 2, 	1076
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 83.874825, Y Length = 36.14442, Height = 79.483988, Number of Points = 46.730362, Distribution Seed = 40.7557, Mesh Relaxation = 0.007983, Smooth Level = 1, 	1077
Pensiveness, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 63.731625, Y Length = 56.598276, Height = 92.233013, Number of Points = 9.887472, Distribution Seed = 87.666939, Mesh Relaxation = 0.288823, Smooth Level = 1, 	1078
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 65.741501, Y Length = 68.426867, Height = 10.238124, Number of Points = 66.936516, Distribution Seed = 67.123054, Mesh Relaxation = 0.024721, Smooth Level = 1, 	1079
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Anticipation, Focus, 	Habitation,          	X LENGTH = 94.539961, Y Length = 43.470597, Height = 24.48641, Number of Points = 83.647915, Distribution Seed = 39.357292, Mesh Relaxation = 0.161434, Smooth Level = 2, 	1080
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation, Horizontal Circulation,         	X LENGTH = 91.915143, Y Length = 38.017585, Height = 42.610353, Number of Points = 42.514446, Distribution Seed = 12.822575, Mesh Relaxation = 0.652455, Smooth Level = 1, 	1081
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,    Work,      	X LENGTH = 49.824081, Y Length = 70.877285, Height = 27.239114, Number of Points = 73.080712, Distribution Seed = 16.25334, Mesh Relaxation = 0.512653, Smooth Level = 1, 	1082
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,    Work,      	X LENGTH = 44.012918, Y Length = 67.819323, Height = 32.792675, Number of Points = 83.302178, Distribution Seed = 88.090229, Mesh Relaxation = 0.105305, Smooth Level = 1, 	1083
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 27.628664, Y Length = 68.054681, Height = 95.965053, Number of Points = 34.057245, Distribution Seed = 66.568267, Mesh Relaxation = 0.655153, Smooth Level = 1, 	1084
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 47.85497, Y Length = 75.811666, Height = 57.174827, Number of Points = 70.363184, Distribution Seed = 66.402699, Mesh Relaxation = 0.846069, Smooth Level = 2, 	1085
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 81.925457, Y Length = 68.906747, Height = 52.598535, Number of Points = 89.537211, Distribution Seed = 37.875395, Mesh Relaxation = 0.374207, Smooth Level = 1, 	1086
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,    Work,      	X LENGTH = 38.946883, Y Length = 37.369218, Height = 54.382402, Number of Points = 16.660691, Distribution Seed = 14.240898, Mesh Relaxation = 0.014021, Smooth Level = 1, 	1087
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 36.948924, Y Length = 37.383462, Height = 94.266478, Number of Points = 32.125725, Distribution Seed = 78.973746, Mesh Relaxation = 0.156162, Smooth Level = 1, 	1088
Pensiveness, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Amazement, Anticipation, Distraction, 	Habitation,          	X LENGTH = 27.974316, Y Length = 94.599705, Height = 29.276278, Number of Points = 66.846196, Distribution Seed = 7.392289, Mesh Relaxation = 0.537081, Smooth Level = 1, 	1089
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,          	X LENGTH = 25.062306, Y Length = 66.564149, Height = 49.140907, Number of Points = 60.519756, Distribution Seed = 9.8155, Mesh Relaxation = 0.304299, Smooth Level = 1, 	1090
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Apprehension, Amazement, Anticipation, Focus, 	 Horizontal Circulation,         	X LENGTH = 52.694325, Y Length = 55.706492, Height = 67.508746, Number of Points = 4.360342, Distribution Seed = 8.923212, Mesh Relaxation = 0.888559, Smooth Level = 1, 	1091
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Distraction, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 92.443029, Y Length = 94.764907, Height = 62.956469, Number of Points = 31.964094, Distribution Seed = 51.145128, Mesh Relaxation = 0.276427, Smooth Level = 1, 	1092
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 46.667097, Y Length = 90.446921, Height = 10.017783, Number of Points = 77.204446, Distribution Seed = 64.535381, Mesh Relaxation = 0.534726, Smooth Level = 2, 	1093
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 82.07866, Y Length = 46.611299, Height = 77.450894, Number of Points = 92.131849, Distribution Seed = 69.599568, Mesh Relaxation = 0.166882, Smooth Level = 1, 	1094
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 38.649041, Y Length = 17.84729, Height = 26.971348, Number of Points = 37.169163, Distribution Seed = 81.771972, Mesh Relaxation = 0.253094, Smooth Level = 2, 	1095
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	          	X LENGTH = 52.431786, Y Length = 91.125837, Height = 78.222402, Number of Points = 8.919387, Distribution Seed = 27.055236, Mesh Relaxation = 0.451397, Smooth Level = 1, 	1096
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 85.795845, Y Length = 32.474007, Height = 70.834652, Number of Points = 7.255515, Distribution Seed = 55.256928, Mesh Relaxation = 0.41678, Smooth Level = 1, 	1097
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 82.474024, Y Length = 23.218412, Height = 34.410325, Number of Points = 18.12724, Distribution Seed = 75.073945, Mesh Relaxation = 0.697088, Smooth Level = 2, 	1098
Serenity, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,   Facilities, Work,    Arts Space,  	X LENGTH = 76.375808, Y Length = 51.458192, Height = 83.210694, Number of Points = 77.613275, Distribution Seed = 94.418903, Mesh Relaxation = 0.751307, Smooth Level = 1, 	1099
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,          	X LENGTH = 17.38864, Y Length = 60.277353, Height = 35.660379, Number of Points = 16.569276, Distribution Seed = 82.749774, Mesh Relaxation = 0.376272, Smooth Level = 1, 	1100
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 79.89206, Y Length = 22.118808, Height = 83.05552, Number of Points = 21.149441, Distribution Seed = 62.702343, Mesh Relaxation = 0.432764, Smooth Level = 1, 	1101
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 66.093017, Y Length = 32.383349, Height = 77.119622, Number of Points = 28.581052, Distribution Seed = 33.17775, Mesh Relaxation = 0.89926, Smooth Level = 1, 	1102
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	          	X LENGTH = 97.378331, Y Length = 39.247701, Height = 49.257225, Number of Points = 49.002727, Distribution Seed = 2.256215, Mesh Relaxation = 0.855004, Smooth Level = 1, 	1103
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 85.284611, Y Length = 22.632265, Height = 49.734792, Number of Points = 5.885604, Distribution Seed = 57.473717, Mesh Relaxation = 0.48667, Smooth Level = 1, 	1104
Pensiveness, Sadness, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 26.988066, Y Length = 17.871, Height = 10.526779, Number of Points = 99.459117, Distribution Seed = 5.481332, Mesh Relaxation = 0.214718, Smooth Level = 1, 	1105
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 75.657518, Y Length = 32.589516, Height = 67.538862, Number of Points = 80.618692, Distribution Seed = 67.962321, Mesh Relaxation = 0.548325, Smooth Level = 1, 	1106
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting,  Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 35.939882, Y Length = 72.809547, Height = 89.680376, Number of Points = 35.623685, Distribution Seed = 95.824976, Mesh Relaxation = 0.49145, Smooth Level = 2, 	1107
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Focus, 	          	X LENGTH = 66.861084, Y Length = 59.815676, Height = 13.083262, Number of Points = 88.157307, Distribution Seed = 55.925135, Mesh Relaxation = 0.109386, Smooth Level = 1, 	1108
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,    Work,      	X LENGTH = 71.453808, Y Length = 64.41107, Height = 21.134324, Number of Points = 98.574811, Distribution Seed = 57.447065, Mesh Relaxation = 0.253728, Smooth Level = 1, 	1109
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 79.418347, Y Length = 32.450797, Height = 96.380822, Number of Points = 15.594312, Distribution Seed = 9.277848, Mesh Relaxation = 0.093968, Smooth Level = 1, 	1110
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	          	X LENGTH = 72.517904, Y Length = 34.093169, Height = 32.443987, Number of Points = 31.255084, Distribution Seed = 44.930329, Mesh Relaxation = 0.435275, Smooth Level = 1, 	1111
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 54.369327, Y Length = 95.249044, Height = 98.787585, Number of Points = 73.932799, Distribution Seed = 73.398873, Mesh Relaxation = 0.257232, Smooth Level = 1, 	1112
Pensiveness, Joy, Grief, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Amazement, Anticipation, Distraction, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 43.181436, Y Length = 66.731162, Height = 54.079434, Number of Points = 57.282833, Distribution Seed = 97.610998, Mesh Relaxation = 0.205088, Smooth Level = 1, 	1113
Pensiveness, Sadness, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Amazement, Surprise, Distraction, 	Habitation,          	X LENGTH = 73.540569, Y Length = 81.978706, Height = 20.389787, Number of Points = 67.40488, Distribution Seed = 78.355372, Mesh Relaxation = 0.587743, Smooth Level = 1, 	1114
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Rage, Fear, Annoyance, Amazement, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 13.293956, Y Length = 25.587523, Height = 71.504098, Number of Points = 90.330462, Distribution Seed = 47.011385, Mesh Relaxation = 0.827983, Smooth Level = 1, 	1115
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 82.960356, Y Length = 72.00592, Height = 83.71968, Number of Points = 78.845763, Distribution Seed = 71.400323, Mesh Relaxation = 0.763443, Smooth Level = 1, 	1116
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 89.331882, Y Length = 97.199753, Height = 80.306436, Number of Points = 25.773156, Distribution Seed = 93.810243, Mesh Relaxation = 0.459659, Smooth Level = 2, 	1117
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 26.54372, Y Length = 26.446108, Height = 97.704497, Number of Points = 8.149029, Distribution Seed = 67.601034, Mesh Relaxation = 0.965641, Smooth Level = 2, 	1118
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 85.44945, Y Length = 45.251537, Height = 76.791593, Number of Points = 90.66577, Distribution Seed = 25.764714, Mesh Relaxation = 0.002979, Smooth Level = 1, 	1119
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 72.329297, Y Length = 63.97579, Height = 23.851492, Number of Points = 91.901111, Distribution Seed = 50.858377, Mesh Relaxation = 0.667231, Smooth Level = 1, 	1120
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,  Vertical Circulation,        	X LENGTH = 84.072154, Y Length = 69.08667, Height = 55.938839, Number of Points = 11.968293, Distribution Seed = 1.757463, Mesh Relaxation = 0.093795, Smooth Level = 2, 	1121
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation, Horizontal Circulation,         	X LENGTH = 50.183249, Y Length = 19.285691, Height = 79.304412, Number of Points = 51.378594, Distribution Seed = 20.370532, Mesh Relaxation = 0.330246, Smooth Level = 2, 	1122
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Anticipation, Focus, 	 Horizontal Circulation,         	X LENGTH = 59.76818, Y Length = 13.015298, Height = 69.375179, Number of Points = 68.289925, Distribution Seed = 45.552194, Mesh Relaxation = 0.474478, Smooth Level = 1, 	1123
Serenity, Sadness, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Apprehension, Amazement, Anticipation, Focus, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 22.384815, Y Length = 78.422449, Height = 93.85867, Number of Points = 38.530306, Distribution Seed = 41.951662, Mesh Relaxation = 0.230608, Smooth Level = 1, 	1124
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Distraction, 	Habitation, Horizontal Circulation,         	X LENGTH = 42.268397, Y Length = 99.451274, Height = 50.467405, Number of Points = 29.926223, Distribution Seed = 52.337501, Mesh Relaxation = 0.02162, Smooth Level = 1, 	1125
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 76.728986, Y Length = 86.338233, Height = 25.044816, Number of Points = 49.867734, Distribution Seed = 25.439492, Mesh Relaxation = 0.515927, Smooth Level = 2, 	1126
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,          	X LENGTH = 86.424681, Y Length = 95.844141, Height = 21.411333, Number of Points = 51.45347, Distribution Seed = 14.077617, Mesh Relaxation = 0.570187, Smooth Level = 2, 	1127
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	          	X LENGTH = 31.847616, Y Length = 60.194451, Height = 14.897294, Number of Points = 65.857479, Distribution Seed = 45.709537, Mesh Relaxation = 0.997563, Smooth Level = 1, 	1128
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,    Arts Space,  	X LENGTH = 13.473744, Y Length = 54.675832, Height = 95.567902, Number of Points = 57.627461, Distribution Seed = 11.150173, Mesh Relaxation = 0.16966, Smooth Level = 1, 	1129
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	          	X LENGTH = 53.27049, Y Length = 28.887186, Height = 36.745843, Number of Points = 40.21912, Distribution Seed = 10.584097, Mesh Relaxation = 0.203768, Smooth Level = 1, 	1130
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	          	X LENGTH = 87.891798, Y Length = 75.826088, Height = 49.074578, Number of Points = 22.447114, Distribution Seed = 65.203359, Mesh Relaxation = 0.797499, Smooth Level = 1, 	1131
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 20.221446, Y Length = 93.405921, Height = 62.00651, Number of Points = 69.278927, Distribution Seed = 17.587058, Mesh Relaxation = 0.397388, Smooth Level = 1, 	1132
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 91.364909, Y Length = 66.217577, Height = 18.69228, Number of Points = 40.961162, Distribution Seed = 12.343351, Mesh Relaxation = 0.806758, Smooth Level = 1, 	1133
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	          	X LENGTH = 76.706769, Y Length = 38.700949, Height = 25.856117, Number of Points = 22.648618, Distribution Seed = 63.293023, Mesh Relaxation = 0.58033, Smooth Level = 2, 	1134
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Anticipation, Focus, 	Habitation,    Work,      	X LENGTH = 99.947842, Y Length = 53.602213, Height = 35.891477, Number of Points = 86.927545, Distribution Seed = 63.679652, Mesh Relaxation = 0.609432, Smooth Level = 1, 	1135
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,   Facilities, Work,     Cafe/Restaurant, 	X LENGTH = 82.59706, Y Length = 94.24222, Height = 33.297581, Number of Points = 11.222599, Distribution Seed = 48.699987, Mesh Relaxation = 0.008843, Smooth Level = 1, 	1136
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	          	X LENGTH = 69.354593, Y Length = 62.466944, Height = 14.521429, Number of Points = 51.59522, Distribution Seed = 76.134671, Mesh Relaxation = 0.927774, Smooth Level = 1, 	1137
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,    Work,      	X LENGTH = 62.497475, Y Length = 42.17232, Height = 35.777395, Number of Points = 80.250677, Distribution Seed = 46.826784, Mesh Relaxation = 0.150577, Smooth Level = 1, 	1138
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 88.032104, Y Length = 95.677112, Height = 62.052407, Number of Points = 62.529797, Distribution Seed = 93.358072, Mesh Relaxation = 0.698147, Smooth Level = 1, 	1139
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,    Work,      	X LENGTH = 98.671966, Y Length = 43.759096, Height = 64.767267, Number of Points = 55.084695, Distribution Seed = 48.274116, Mesh Relaxation = 0.653092, Smooth Level = 1, 	1140
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 86.978753, Y Length = 57.491673, Height = 95.168038, Number of Points = 74.155263, Distribution Seed = 75.012789, Mesh Relaxation = 0.285645, Smooth Level = 1, 	1141
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 26.768823, Y Length = 97.172428, Height = 68.113758, Number of Points = 56.791947, Distribution Seed = 83.970851, Mesh Relaxation = 0.247478, Smooth Level = 1, 	1142
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 72.639423, Y Length = 74.029386, Height = 71.705342, Number of Points = 99.912977, Distribution Seed = 87.776763, Mesh Relaxation = 0.595874, Smooth Level = 1, 	1143
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation,  Vertical Circulation, Facilities, Work,      	X LENGTH = 85.63201, Y Length = 55.053299, Height = 80.354476, Number of Points = 51.635964, Distribution Seed = 14.415731, Mesh Relaxation = 0.66372, Smooth Level = 1, 	1144
